"x","y"
446198.247004021,4626946.0254606
446367.036152829,4626946.99719774
446373.140296526,4626942.26499207
446325.667425198,4626973.83485831
446419.86857166,4626946.79998229
446423.335345916,4626964.65387027
446490.729161305,4626942.97082775
446499.298379791,4626959.37090748
446563.958335237,4626970.04160275
446831.866456673,4626938.24220748
447148.289910436,4626943.09043499
447204.609873239,4626950.56105994
447218.648240971,4626929.35950129
447326.878480287,4626969.82211082
447352.613141295,4626950.4933331
447399.813835532,4626958.1074119
447472.082016722,4626925.86106328
447505.836178269,4626972.83193253
447574.649898184,4626952.03791133
447599.436576082,4626946.9667748
447584.795575624,4626948.4546595
447788.150068081,4626945.69118947
446439.045374875,4626891.67387354
446507.45619582,4626881.61403119
446582.182136178,4626913.71906616
446650.558137707,4626890.32846901
446710.873279592,4626898.03528256
447009.538514249,4626890.80471252
447105.232217663,4626877.26200571
447356.703567121,4626911.13614256
446024.323151144,4626861.21123639
446512.121233367,4626843.97066032
446486.80699598,4626841.83270218
446577.068001777,4626856.5332227
446648.772565741,4626833.16097524
446749.365441885,4626837.47432551
446758.645504434,4626855.08278809
447142.978376616,4626866.16083087
447270.084194036,4626831.7751921
447292.885490169,4626848.47956611
447373.252717301,4626869.74056661
447411.208106414,4626846.58696315
447405.324131541,4626849.78688117
447457.286517648,4626838.92817814
447428.767265368,4626843.55539623
447516.561358457,4626839.94310059
447512.096816616,4626853.88483605
447495.162278228,4626873.82533193
447475.264754985,4626854.90232402
447520.383710216,4626827.99268607
447564.652283373,4626837.21599815
447537.687602371,4626849.35148684
447895.542025496,4626863.21097265
446494.861548336,4626800.15388354
446567.108950845,4626818.7378775
446624.711199128,4626808.24225671
446830.154899764,4626799.11187992
447058.532620419,4626813.43665048
447143.53707165,4626776.97362099
447171.889769321,4626784.84692911
447202.999329381,4626814.99084062
447204.452726443,4626781.84236247
447208.606901369,4626776.70161492
447305.722540186,4626783.23632942
447297.7838594,4626805.40503487
447360.460680432,4626802.28376215
447361.479782709,4626800.03584088
447398.655194207,4626803.50669073
447429.588087962,4626822.39936141
447512.560271146,4626792.61430826
447483.141277358,4626821.97911568
447543.801137444,4626811.03846234
447573.695795785,4626783.56442793
447566.246287886,4626811.98873229
447557.015106571,4626792.08197634
447605.379431241,4626819.67247791
446401.234002016,4626748.71243927
446456.780156097,4626731.07758876
446643.753082701,4626739.85452658
447111.134306749,4626753.33100209
447141.417114122,4626763.6160997
447208.923429053,4626726.15371128
447184.164496651,4626738.61371304
447210.656184901,4626743.63296526
447208.938636584,4626763.62834643
447240.532613907,4626726.82556853
447277.759210882,4626760.72758465
447295.957234502,4626760.29007414
447343.403569621,4626734.10240031
447336.120438436,4626748.83397792
447335.554612742,4626741.67788742
447404.045147868,4626745.51739513
447474.125839619,4626758.51957451
447463.689333317,4626770.7621192
447447.580187768,4626770.4545697
447522.410460981,4626732.44827552
447495.129785256,4626744.3990655
447481.658171385,4626732.12013781
447476.864991791,4626752.4987204
447557.537178497,4626736.54114683
446048.401627794,4626723.76662537
446029.932683671,4626713.84717645
446223.086724861,4626683.53497814
446437.52210862,4626675.96132078
446488.29568011,4626708.67296172
446592.426639365,4626681.50871235
446618.09976236,4626716.95122854
446660.697616974,4626679.41448599
446638.464051404,4626712.0327538
447070.529765659,4626692.48226163
447039.824815816,4626722.85092174
447102.071731142,4626691.79675581
447160.971717048,4626720.98805186
447210.770917567,4626701.95538397
447207.471612131,4626715.62583644
447266.692379641,4626695.31895347
447269.846728584,4626676.47235665
447245.25274398,4626718.26304439
447281.140634511,4626681.02528844
447280.293818703,4626723.16072106
447343.32025029,4626721.85074913
447411.392677843,4626680.26047974
447399.416687898,4626679.69507829
447446.843603498,4626700.26827151
447455.938047357,4626713.94807611
447452.444108948,4626714.72556436
447518.736559327,4626706.9168333
447518.048968539,4626700.1220662
447517.475667794,4626704.86261558
447488.307402795,4626681.505088
447561.186788674,4626698.65748627
447530.897808785,4626700.59355473
447611.375728308,4626705.38254626
447741.19514199,4626680.42788691
447967.467078962,4626714.9273742
446052.44964672,4626640.02262312
446036.446216307,4626636.0155696
446388.682892069,4626630.74593396
446458.134566911,4626653.92799624
446522.938340832,4626625.64068025
446572.769827361,4626653.5325208
446535.872062715,4626673.10107201
446584.927904501,4626650.75445288
446589.981323131,4626663.58278993
446717.877431901,4626646.80587538
447152.784751903,4626666.46771323
447129.251118388,4626641.30360791
447140.07240088,4626651.41526336
447190.105382784,4626639.68785942
447177.200546931,4626631.19366254
447194.096351461,4626665.95755257
447274.959228374,4626628.95910038
447249.306649319,4626654.84015701
447318.747250398,4626633.05448989
447392.798228899,4626629.57310096
447410.630906909,4626660.26057583
447376.407400426,4626653.01949605
447465.95121338,4626644.28013529
447426.766186627,4626636.55628412
447466.613683349,4626653.01795693
447478.761332436,4626668.99703798
447514.737409446,4626655.50667018
447506.184316659,4626644.57663236
447542.415059893,4626632.58070642
447911.263491923,4626673.90009445
447884.099371743,4626629.37973094
446006.393479742,4626587.9952708
446137.268768658,4626587.84464247
446357.725004444,4626612.51086529
446407.471777627,4626591.29851093
446486.689291045,4626597.55207513
446541.850334057,4626594.7782538
446535.690380237,4626622.8237959
447065.417368955,4626584.36189431
447122.509520326,4626598.76724663
447089.244606567,4626600.51070965
447101.381591603,4626610.18872093
447122.302738717,4626621.07636047
447207.326095621,4626593.60554011
447193.654974177,4626619.16322506
447252.575218002,4626617.46299494
447270.740992948,4626613.11385744
447323.983273539,4626623.06054402
447297.326804884,4626599.53472944
447277.398185595,4626585.24870162
447343.655776023,4626590.50209522
447389.267084619,4626576.97203701
447448.750481196,4626612.49698054
447487.70556685,4626622.5917447
447503.973907151,4626591.83277824
447488.995083666,4626610.09449343
447534.72315307,4626594.84571735
447557.983304339,4626579.01431451
447535.345335491,4626586.35001566
447922.540639737,4626578.82623626
446050.644827576,4626562.21768758
446408.690358978,4626547.86139588
446434.963939816,4626556.49422884
446469.719455298,4626530.53181306
446581.981859251,4626549.73136149
447166.66539273,4626571.75888706
447255.03326701,4626533.80334494
447255.140957434,4626530.36987474
447238.669749594,4626561.65541961
447237.352875224,4626544.86999908
447263.359948143,4626536.34908131
447270.552763192,4626536.39691218
447297.849748097,4626567.2380261
447292.250889307,4626570.70053029
447289.230572549,4626571.25093356
447312.613530317,4626558.18843655
447282.156556263,4626527.95046901
447342.616793246,4626538.89161769
447407.122347213,4626525.6276559
447413.652169716,4626546.98158125
447412.446569151,4626545.34201125
447376.952445065,4626558.34954481
447393.713245017,4626547.88078221
447443.623549654,4626527.935044
447450.357429276,4626546.86217611
447428.536662494,4626536.31079911
447469.399327331,4626557.95832198
447510.56978876,4626538.1582181
447505.59135729,4626550.79566158
447562.65603127,4626554.59646221
447557.456699444,4626529.77720107
447599.908428139,4626539.22764042
447690.091051674,4626565.25556557
447755.935223983,4626531.22119344
447935.578413273,4626571.93829
446099.095354252,4626514.3957091
446202.083440567,4626480.68873468
446243.138590653,4626485.44900415
447139.70115697,4626482.33587833
447177.161361394,4626497.63935623
447176.451343915,4626517.01717451
447181.98070674,4626510.05149729
447230.201064574,4626512.97967238
447315.223323973,4626502.90406862
447317.976102361,4626487.22169418
447354.704574042,4626497.81224266
447357.275646878,4626484.04142883
447401.163577312,4626517.25093195
447396.85781186,4626476.9147267
