x_,y_,t_,id
408360.00914723985,4256397.224294161,2013-06-14T22:06:24Z,C028
408250.78736355354,4256143.20654091,2013-06-15T01:01:18Z,C028
408251.72070766997,4256135.516120569,2013-06-15T04:02:00Z,C028
409497.87069351383,4254827.945852261,2013-06-15T07:02:48Z,C028
408839.88288849976,4254773.128686485,2013-06-15T10:00:59Z,C028
408329.02059489273,4256304.754505488,2013-06-15T13:00:59Z,C028
408344.12370804325,4256273.041977682,2013-06-15T16:02:51Z,C028
408245.7098586032,4256178.544815621,2013-06-15T19:01:56Z,C028
408254.033843303,4256516.370851979,2013-06-15T22:03:05Z,C028
408267.47988065606,4256462.636558848,2013-06-16T04:01:30Z,C028
408199.6432619201,4255685.212810217,2013-06-16T07:01:46Z,C028
406899.16121103126,4257894.2509978,2013-06-16T10:01:00Z,C028
410549.6716791684,4260976.729299265,2013-06-16T13:01:31Z,C028
409828.00470878533,4258311.1016248735,2013-06-16T16:03:07Z,C028
409925.0674933108,4258218.244232295,2013-06-16T19:01:02Z,C028
409926.7289576739,4258234.916847992,2013-06-16T22:01:01Z,C028
407991.00599017524,4260665.251619248,2013-06-17T01:00:55Z,C028
407540.70189285313,4260987.574099672,2013-06-17T04:01:42Z,C028
404671.0762116889,4261043.215388069,2013-06-17T07:01:00Z,C028
406663.99392402696,4261177.065445893,2013-06-17T10:02:46Z,C028
408011.8949405392,4261947.400976152,2013-06-17T13:03:01Z,C028
409283.3468468098,4259801.982504601,2013-06-17T16:02:52Z,C028
408273.4638698793,4255899.414831645,2013-06-17T22:01:00Z,C028
408192.4389612709,4255838.524150742,2013-06-18T01:01:15Z,C028
408916.9881107167,4254868.973183934,2013-06-18T04:01:51Z,C028
409034.81857691985,4256780.661417726,2013-06-18T07:00:53Z,C028
410295.39282990986,4257314.517937477,2013-06-18T10:01:53Z,C028
409139.6352636037,4261196.014448692,2013-06-18T13:00:59Z,C028
407230.2898356222,4261845.706720143,2013-06-18T16:01:40Z,C028
