x_,y_,t_,sex,id,name
1782673.3690995525,2402296.711992982,2009-02-11T12:16:45Z,M,M1,Leroy
1782679.7136081178,2402296.905446421,2009-02-11T12:31:38Z,M,M1,Leroy
1782682.9968103287,2402292.331278897,2009-02-11T12:45:48Z,M,M1,Leroy
1782685.8319040337,2402304.7284797505,2009-02-11T13:00:16Z,M,M1,Leroy
1782680.5611139182,2402296.6467963643,2009-02-11T13:15:19Z,M,M1,Leroy
1782670.6475724087,2402290.474438377,2009-02-11T13:30:13Z,M,M1,Leroy
1782682.520253874,2402297.6276218197,2009-02-11T13:45:37Z,M,M1,Leroy
1782686.1980495362,2402280.6517404253,2009-02-11T14:00:35Z,M,M1,Leroy
1782681.6665057149,2402290.1786715626,2009-02-11T14:15:49Z,M,M1,Leroy
1782680.517716528,2402291.2502719713,2009-02-11T14:30:49Z,M,M1,Leroy
1782684.290022305,2402297.748193348,2009-02-11T14:45:13Z,M,M1,Leroy
1782683.6742563862,2402298.90010151,2009-02-11T15:00:45Z,M,M1,Leroy
1782684.9246628631,2402273.5972325853,2009-02-11T15:15:10Z,M,M1,Leroy
1782681.002636666,2402299.691411089,2009-02-11T15:30:44Z,M,M1,Leroy
1782669.4923574778,2402309.230691066,2009-02-11T15:45:33Z,M,M1,Leroy
1782679.7091991608,2402323.9045348787,2009-02-11T16:00:31Z,M,M1,Leroy
1782678.7509717778,2402299.204043655,2009-02-11T16:15:14Z,M,M1,Leroy
1782676.3302822094,2402296.7816960393,2009-02-11T16:30:11Z,M,M1,Leroy
1782679.0387291177,2402304.451722458,2009-02-11T16:45:52Z,M,M1,Leroy
1782676.3613826085,2402299.510895901,2009-02-11T17:00:12Z,M,M1,Leroy
1782698.9850469055,2402273.103086471,2009-02-11T17:15:12Z,M,M1,Leroy
1782685.6028742327,2402300.080420404,2009-02-11T17:30:19Z,M,M1,Leroy
1782686.4158662797,2402300.250008728,2009-02-11T17:45:45Z,M,M1,Leroy
1782676.9571217096,2402299.962078456,2009-02-11T18:00:23Z,M,M1,Leroy
