id,y,x,t
N17003,40.09578,-94.55786,1/27/2017 21:01
N17003,40.09408,-94.56358,1/28/2017 2:01
N17003,40.0951,-94.56448,1/28/2017 7:01
N17003,40.09679,-94.56394,1/28/2017 12:01
N17003,40.09679,-94.56257,1/28/2017 17:01
N17003,40.09862,-94.56832,1/28/2017 22:01
N17003,40.09564,-94.55787,1/29/2017 3:01
N17003,40.09734,-94.55066,1/29/2017 8:01
N17003,40.0964,-94.55061,1/29/2017 13:01
N17003,40.09427,-94.54479,1/29/2017 18:01
N17003,40.09533,-94.53516,1/29/2017 23:01
N17003,40.09038,-94.53392,1/30/2017 4:01
N17003,40.09848,-94.55162,1/30/2017 9:01
N17003,40.09755,-94.55309,1/30/2017 14:01
N17003,40.08477,-94.55969,1/30/2017 19:01
N17003,40.08621,-94.56179,1/31/2017 0:01
N17003,40.08481,-94.5596,1/31/2017 5:01
N17003,40.09576,-94.56135,1/31/2017 10:02
N17003,40.09591,-94.56532,1/31/2017 15:01
N17003,40.09493,-94.55807,1/31/2017 20:01
N17003,40.09553,-94.55215,2/1/2017 1:01
N17003,40.09513,-94.56072,2/1/2017 6:01
N17003,40.09745,-94.5722,2/1/2017 11:01
N17003,40.09722,-94.5726,2/1/2017 16:01
N17003,40.09579,-94.59221,2/1/2017 21:01
N17003,40.09802,-94.58153,2/2/2017 2:01
N17003,40.09928,-94.57012,2/2/2017 7:01
N17003,40.09634,-94.56394,2/2/2017 12:01
N17003,40.09556,-94.55892,2/2/2017 17:01
N17003,40.09802,-94.5494,2/2/2017 22:01
N17003,40.09824,-94.5488,2/3/2017 3:01
N17003,40.0964,-94.55923,2/3/2017 8:02
N17003,40.09593,-94.56066,2/3/2017 13:01
N17003,40.089,-94.55793,2/3/2017 18:01
N17003,40.08021,-94.55946,2/3/2017 23:01
N17003,40.07777,-94.56078,2/4/2017 4:01
N17003,40.07592,-94.57286,2/4/2017 9:02
N17003,40.07099,-94.58311,2/4/2017 14:01
N17003,40.07729,-94.57305,2/4/2017 19:01
N17003,40.07647,-94.56901,2/5/2017 0:01
N17003,40.07801,-94.56295,2/5/2017 5:01
N17003,40.09277,-94.55872,2/5/2017 10:01
N17003,40.09273,-94.55834,2/5/2017 15:01
N17003,40.0842,-94.55971,2/5/2017 20:01
N17003,40.08349,-94.55783,2/6/2017 1:01
N17003,40.08434,-94.55646,2/6/2017 6:01
N17003,40.09679,-94.56147,2/6/2017 11:01
N17003,40.0967,-94.56144,2/6/2017 16:02
N17003,40.0993,-94.54051,2/6/2017 21:01
N17003,40.09926,-94.53789,2/7/2017 2:01
N17003,40.09972,-94.54151,2/7/2017 7:01
N17003,40.09878,-94.55371,2/7/2017 12:01
N17003,40.0968,-94.56394,2/7/2017 17:01
N17003,40.08951,-94.56299,2/7/2017 22:01
N17003,40.09354,-94.56016,2/8/2017 3:01
N17003,40.09556,-94.56241,2/8/2017 8:02
N17003,40.09511,-94.56387,2/8/2017 13:01
N17003,40.0844,-94.56133,2/8/2017 23:02
N17003,40.08879,-94.56051,2/9/2017 4:01
N17003,40.09558,-94.56032,2/9/2017 9:01
N17003,40.09233,-94.55862,2/9/2017 14:01
N17003,40.0842,-94.56022,2/9/2017 19:01
N17003,40.07832,-94.55807,2/10/2017 0:01
N17003,40.0758,-94.56098,2/10/2017 5:01
N17003,40.07723,-94.57937,2/10/2017 10:02
N17003,40.07584,-94.57936,2/10/2017 15:01
N17003,40.07625,-94.56705,2/10/2017 20:01
N17003,40.0764,-94.56945,2/11/2017 1:02
